      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size         P         R     mAP50   mAP50-95   
    113/300      1.69G     0.5763      1.013      1.832         22        608    0.6862    0.7302    0.7634    0.5634
    114/300      1.69G     0.5736      1.023      1.814         14        608    0.6725    0.7332    0.7597    0.5572
    115/300      1.69G     0.5817      1.025      1.833          7        608    0.6665    0.7356    0.7577    0.5544
    116/300      1.69G     0.5814      1.018      1.829         13        608    0.6721    0.7344    0.7588    0.5606
    117/300      1.69G     0.5773      1.015      1.812          4        608    0.6749    0.7408    0.7675    0.5648
    118/300      1.69G     0.5792      1.008      1.818          1        608    0.6632    0.7307    0.7533    0.5555
    119/300      1.69G     0.5761      1.014      1.826          3        608    0.6756     0.746    0.7666    0.5653
    120/300      1.69G      0.572      1.003      1.823         14        608    0.6686    0.7465    0.7632    0.5614
    121/300      1.69G     0.5623      1.005      1.795         16        608    0.6816    0.7415    0.7674    0.5655
    122/300      1.69G     0.5701      1.002      1.822         10        608    0.6852      0.74    0.7702    0.5699
    123/300      1.69G     0.5718      1.014      1.807         20        608    0.6823    0.7388     0.771    0.5693
    124/300      1.69G     0.5706     0.9933      1.801          5        608    0.6764    0.7375    0.7665    0.5669
    125/300      1.69G     0.5754      1.017      1.819          5        608    0.6796    0.7335    0.7638    0.5649
    126/300      1.69G     0.5709     0.9958      1.799          2        608    0.6818    0.7476    0.7745    0.5729
    127/300      1.69G     0.5689      1.003       1.79          3        608     0.681    0.7319    0.7572    0.5612
    128/300      1.69G     0.5663      1.002      1.794          5        608      0.69    0.7428    0.7734    0.5733
    129/300      1.69G     0.5648      1.001      1.791         12        608    0.6909    0.7384    0.7735    0.5757
    130/300      1.69G     0.5682      1.023      1.793         29        608    0.6745    0.7365    0.7636    0.5666
    131/300      1.69G     0.5668     0.9898      1.793         20        608     0.684    0.7348     0.767    0.5682
    132/300      1.69G     0.5693        inf      1.795          0        608    0.6861    0.7403    0.7724    0.5736
    133/300      1.69G     0.5694      1.011      1.791          1        608     0.694    0.7335    0.7729    0.5744
    134/300       1.8G     0.5647      1.003      1.795         15        608    0.7028    0.7272    0.7747    0.5756
    135/300       1.8G     0.5686      0.999      1.784          8        608    0.6909    0.7305    0.7739    0.5755
    136/300       1.8G     0.5623     0.9928      1.791          7        608    0.6937     0.729    0.7735    0.5746
    137/300       1.8G     0.5601     0.9849      1.782         21        608    0.6979     0.731    0.7762    0.5781
    138/300       1.8G     0.5629     0.9978      1.766          9        608    0.6784    0.7326    0.7606    0.5613
    139/300       1.8G     0.5741      1.001      1.786          3        608     0.697    0.7262     0.772    0.5726
    140/300       1.8G     0.5644     0.9964      1.778          9        608     0.697    0.7331    0.7762    0.5769
    141/300       1.8G     0.5619      1.003      1.784          4        608    0.6773    0.7619    0.7789    0.5802
    142/300       1.8G     0.5607     0.9872      1.804         11        608    0.6815    0.7367    0.7675    0.5697
    143/300       1.8G     0.5529     0.9839      1.779         21        608    0.6797    0.7606    0.7772    0.5772
    144/300       1.8G     0.5677     0.9951      1.785          7        608    0.6936    0.7427    0.7783    0.5805
    145/300       1.8G     0.5695      1.008      1.794          7        608    0.7032    0.7326    0.7768    0.5781
    146/300       1.8G     0.5631      1.004      1.782         10        608     0.701    0.7211    0.7708    0.5737
    147/300       1.8G     0.5631     0.9894      1.777         13        608    0.6874    0.7421    0.7737     0.576
